date,value,7_day_change,7_day_volatility
2019-01-02,35891.51953125,118.3203125,699.19921875
2019-01-03,35513.7109375,339.84765625,699.19921875
2019-01-04,35695.1015625,623.2265625,623.2265625
2019-01-07,35850.16015625,471.12890625,471.12890625
2019-01-08,35980.9296875,393.1484375,520.51953125
2019-01-09,36212.91015625,173.69921875,533.05078125
2019-01-10,36106.5,472.4609375,725.40234375
2019-01-11,36009.83984375,434.80078125,725.40234375
2019-01-14,35853.55859375,254.91015625,725.40234375
2019-01-15,36318.328125,-123.2265625,470.4921875
2019-01-16,36321.2890625,-295.75,553.421875
2019-01-17,36374.078125,-717.37890625,922.26171875
2019-01-18,36386.609375,-794.109375,986.4609375
2019-01-21,36578.9609375,-987.7109375,987.7109375
2019-01-22,36444.640625,-187.94921875,853.390625
2019-01-23,36108.46875,360.9609375,878.1796875
2019-01-24,36195.1015625,387.63671875,991.48828125
2019-01-25,36025.5390625,591.26953125,1025.55859375
2019-01-28,35656.69921875,1318.53125,1383.98046875
2019-01-29,35592.5,1378.58984375,1383.98046875
2019-01-30,35591.25,955.23046875,1383.98046875
2019-01-31,36256.69140625,138.33984375,718.5390625
2019-02-01,36469.4296875,-315.80859375,821.609375
2019-02-04,36582.73828125,-706.51953125,1099.01171875
2019-02-05,36616.80859375,-807.859375,1166.28125
2019-02-06,36975.23046875,-1476.7890625,1476.7890625
2019-02-07,36971.08984375,-1618.48046875,1618.48046875
2019-02-08,36546.48046875,-790.21875,1193.87109375
2019-02-11,36395.03125,-496.6796875,1042.421875
2019-02-12,36153.62109375,-282.140625,801.01171875
2019-02-14,35876.21875,337.16015625,860.76953125
2019-02-15,35808.94921875,164.76171875,860.76953125
2019-02-18,35498.44140625,406.98828125,860.76953125
2019-02-19,35352.609375,514.83203125,860.76953125
2019-02-20,35756.26171875,307.546875,457.1171875
2019-02-21,35898.3515625,544.1875,575.09765625
2019-02-22,35871.48046875,764.62109375,768.66015625
2019-02-25,36213.37890625,512.04296875,857.98046875
2019-02-26,35973.7109375,697.71875,857.98046875
2019-02-27,35905.4296875,1148.671875,1186.66015625
2019-02-28,35867.44140625,1668.21875,1668.21875
2019-03-01,36063.80859375,1688.36328125,1688.36328125
2019-03-05,36442.5390625,1312.3515625,1312.3515625
2019-03-06,36636.1015625,1388.21875,1388.21875
2019-03-07,36725.421875,1369.6484375,1423.640625
2019-03-08,36671.4296875,1692.0390625,1692.0390625
2019-03-11,37054.1015625,1332.6484375,1332.6484375
2019-03-12,37535.66015625,628.94921875,851.08984375
2019-03-13,37752.171875,56.73828125,634.578125
2019-03-14,37754.890625,478.51953125,631.859375
2019-03-15,38024.3203125,108.55859375,577.83984375
2019-03-18,38095.0703125,450.6484375,736.80859375
2019-03-19,38363.46875,508.40234375,1062.9609375
2019-03-20,38386.75,669.8984375,1247.73828125
2019-03-22,38164.609375,712.51171875,1247.73828125
2019-03-25,37808.91015625,875.80859375,1247.73828125
2019-03-26,38233.41015625,628.8203125,923.76953125
2019-03-27,38132.87890625,567.65234375,923.76953125
2019-03-28,38545.71875,393.5,510.9296875
2019-04-01,38871.87109375,-286.51953125,471.296875
2019-04-02,39056.6484375,-449.63671875,471.296875
2019-04-03,38877.12109375,-110.01171875,353.8671875
2019-04-04,38684.71875,221.12109375,353.8671875
2019-04-05,38862.23046875,413.41015625,690.2890625
2019-04-08,38700.53125,439.75,690.2890625
2019-04-09,38939.21875,-294.0390625,690.2890625
2019-04-10,38585.3515625,-20.47265625,710.76171875
2019-04-11,38607.01171875,447.66796875,710.76171875
2019-04-12,38767.109375,-36.25,710.76171875
2019-04-15,38905.83984375,161.48828125,710.76171875
2019-04-16,39275.640625,-244.08984375,710.76171875
2019-04-18,39140.28125,-158.8515625,575.40234375
2019-04-22,38645.1796875,318.08203125,502.44921875
2019-04-23,38564.87890625,35.4609375,502.44921875
2019-04-24,39054.6796875,-778.05078125,790.69921875
2019-04-25,38730.859375,-941.73046875,1278.19921875
2019-04-26,39067.328125,-1508.41796875,1508.41796875
2019-04-30,39031.55078125,-1568.5625,1568.5625
2019-05-02,38981.4296875,-1890.609375,1890.609375
2019-05-03,38963.26171875,-1644.73046875,1872.44140625
2019-05-06,38600.33984375,-1485.4609375,1509.51953125
2019-05-07,38276.62890625,-883.1484375,1185.80859375
2019-05-08,37789.12890625,141.640625,839.94921875
2019-05-09,37558.91015625,1793.76171875,2261.8515625
2019-05-10,37462.98828125,1506.8125,2261.8515625
2019-05-13,37090.8203125,2019.390625,2261.8515625
2019-05-14,37318.53125,1492.859375,2237.79296875
2019-05-15,37114.87890625,2319.83984375,2319.83984375
2019-05-16,37393.48046875,2289.80859375,2289.80859375
2019-05-17,37930.76953125,1818.9609375,1818.9609375
2019-05-20,39352.671875,149.37890625,938.33984375
2019-05-21,38969.80078125,862.16796875,1020.578125
2019-05-22,39110.2109375,603.98828125,1020.578125
2019-05-23,38811.390625,1456.23046875,1456.23046875
2019-05-24,39434.71875,648.8203125,832.90234375
2019-05-27,39683.2890625,-153.5703125,765.5703125
2019-05-28,39749.73046875,-133.83203125,765.5703125
2019-05-29,39502.05078125,282.46875,765.5703125
2019-05-30,39831.96875,118.4921875,737.90234375
2019-05-31,39714.19921875,42.609375,737.90234375
2019-06-03,40267.62109375,-526.26171875,737.90234375
2019-06-04,40083.5390625,-631.46875,631.46875
2019-06-06,39529.71875,-568.9296875,989.671875
2019-06-07,39615.8984375,-569.55859375,989.671875
2019-06-10,39784.51953125,-671.78125,989.671875
2019-06-11,39950.4609375,-348.83203125,989.671875
2019-06-12,39756.80859375,-562.3203125,796.01953125
2019-06-13,39741.359375,-618.3984375,780.5703125
2019-06-14,39452.0703125,-17.12890625,640.83984375
2019-06-17,38960.7890625,631.2890625,640.83984375
2019-06-18,39046.33984375,540.0703125,555.2890625
2019-06-19,39112.73828125,281.90234375,488.890625
2019-06-20,39601.62890625,84.87109375,563.5390625
2019-06-21,39194.48828125,621.9921875,693.51953125
2019-06-24,39122.9609375,716.2890625,716.2890625
2019-06-25,39434.94140625,473.1171875,513.41796875
2019-06-26,39592.078125,-78.6875,513.41796875
2019-06-27,39586.41015625,-865.83984375,1187.48828125
2019-06-28,39394.640625,-663.8203125,1187.48828125
2019-07-01,39686.5,-1129.4609375,1351.01953125
2019-07-02,39816.48046875,-993.37109375,1351.01953125
2019-07-03,39839.25,-1103.01953125,1351.01953125
2019-07-04,39908.05859375,-1011.34765625,1351.01953125
2019-07-05,39513.390625,-382.3515625,956.3515625
2019-07-08,38720.5703125,495.0703125,658.6015625
2019-07-09,38730.8203125,166.640625,658.6015625
2019-07-10,38557.0390625,-220.02734375,878.62890625
2019-07-11,38823.109375,-791.98046875,1184.51171875
2019-07-12,38736.23046875,-753.4921875,1232.90234375
2019-07-15,38896.7109375,-1049.0625,1367.9921875
2019-07-16,39131.0390625,-1300.05859375,1384.66015625
2019-07-17,39215.640625,-1332.8515625,1384.66015625
2019-07-18,38897.4609375,-1211.08984375,1211.08984375
2019-07-19,38337.01171875,-939.7734375,939.7734375
2019-07-22,38031.12890625,-550.0078125,633.890625
2019-07-23,37982.73828125,-964.41796875,964.41796875
2019-07-24,37847.6484375,-729.4296875,864.46875
2019-07-25,37830.98046875,-1131.140625,1182.94921875
2019-07-26,37882.7890625,-905.9375,1182.94921875
2019-07-29,37686.37109375,-995.87109375,995.87109375
2019-07-30,37397.23828125,-69.87890625,790.62109375
2019-07-31,37481.12109375,100.7890625,891.41015625
2019-08-01,37018.3203125,-60.16015625,891.41015625
2019-08-02,37118.21875,193.3125,891.41015625
2019-08-05,36699.83984375,650.48828125,891.41015625
2019-08-06,36976.8515625,425.63671875,891.41015625
2019-08-07,36690.5,637.51171875,891.41015625
2019-08-08,37327.359375,-266.98828125,623.75
2019-08-09,37581.91015625,-1108.98046875,1108.98046875
2019-08-13,36958.16015625,-257.0,929.55859375
2019-08-14,37311.53125,182.58984375,1021.19140625
2019-08-16,37350.328125,290.94140625,1168.33984375
2019-08-19,37402.48828125,49.3515625,1168.33984375
2019-08-20,37328.01171875,-259.08203125,1168.33984375
2019-08-21,37060.37109375,272.41796875,1168.33984375
2019-08-22,36472.9296875,89.98046875,1168.33984375
2019-08-23,36701.16015625,23.578125,1078.359375
2019-08-26,37494.12109375,-849.69921875,1078.359375
2019-08-27,37641.26953125,-659.5,1078.359375
2019-08-28,37451.83984375,-306.390625,888.9296875
2019-08-29,37068.9296875,201.890625,769.87890625
2019-08-30,37332.7890625,-228.5078125,769.87890625
2019-09-03,36562.91015625,822.078125,822.078125
2019-09-04,36724.73828125,398.5703125,740.56640625
2019-09-05,36644.421875,-163.33203125,903.8984375
2019-09-06,36981.76953125,-417.890625,903.8984375
