date,value,7_day_change,7_day_volatility
2019-01-02,10580.1904296875,307.26953125,504.9296875
2019-01-03,10416.66015625,439.25,504.9296875
2019-01-04,10767.6904296875,124.099609375,173.7802734375
2019-01-07,10747.8095703125,183.4306640625,183.4306640625
2019-01-08,10803.98046875,114.6396484375,127.259765625
2019-01-09,10893.3203125,312.2197265625,349.6298828125
2019-01-10,10921.58984375,214.6103515625,349.6298828125
2019-01-11,10887.4599609375,202.650390625,349.6298828125
2019-01-14,10855.91015625,215.6298828125,349.6298828125
2019-01-15,10891.7900390625,238.3896484375,313.75
2019-01-16,10931.240234375,350.5498046875,363.169921875
2019-01-17,10918.6201171875,291.689453125,363.169921875
2019-01-18,11205.5400390625,13.2900390625,210.25
2019-01-21,11136.2001953125,45.4599609375,210.25
2019-01-22,11090.1103515625,82.9892578125,210.25
2019-01-23,11071.5400390625,109.1201171875,210.25
2019-01-24,11130.1796875,46.400390625,151.6103515625
2019-01-25,11281.7900390625,86.1904296875,194.880859375
2019-01-28,11210.3095703125,114.41015625,194.880859375
2019-01-29,11218.830078125,-196.810546875,345.9609375
2019-01-30,11181.66015625,-274.8798828125,461.2001953125
2019-01-31,11173.099609375,-158.509765625,461.2001953125
2019-02-01,11180.66015625,-54.580078125,461.2001953125
2019-02-04,11176.580078125,-9.3603515625,461.2001953125
2019-02-05,11367.98046875,-278.1904296875,461.2001953125
2019-02-06,11324.7197265625,-24.919921875,417.939453125
2019-02-07,11022.01953125,277.1806640625,393.01953125
2019-02-08,10906.7802734375,402.4296875,402.4296875
2019-02-11,11014.58984375,387.3798828125,387.3798828125
2019-02-12,11126.080078125,297.2001953125,333.490234375
2019-02-13,11167.2197265625,290.48046875,367.91015625
2019-02-14,11089.7900390625,415.599609375,415.599609375
2019-02-15,11299.7998046875,240.990234375,241.58984375
2019-02-18,11299.2001953125,188.1298828125,241.58984375
2019-02-19,11309.2099609375,206.4296875,231.580078125
2019-02-20,11401.9697265625,199.7099609375,199.7099609375
2019-02-21,11423.2802734375,169.3798828125,178.3994140625
2019-02-22,11457.7001953125,163.0400390625,163.0400390625
2019-02-25,11505.3896484375,82.240234375,133.41015625
2019-02-26,11540.7900390625,-22.990234375,133.41015625
2019-02-27,11487.330078125,-29.490234375,162.900390625
2019-02-28,11515.6396484375,27.8408203125,162.900390625
2019-03-01,11601.6796875,-77.509765625,162.900390625
