date,value,7_day_change,7_day_volatility
2019-01-02,23346.240234375,649.708984375,1315.69921875
2019-01-03,22686.220703125,1223.619140625,1315.69921875
2019-01-04,23433.16015625,632.4296875,632.4296875
2019-01-07,23531.349609375,675.810546875,675.810546875
2019-01-08,23787.44921875,582.650390625,582.650390625
2019-01-09,23879.119140625,827.23046875,827.23046875
2019-01-10,24001.919921875,402.560546875,796.509765625
2019-01-11,23995.94921875,579.669921875,796.509765625
2019-01-14,23909.83984375,643.400390625,796.509765625
2019-01-15,24065.58984375,671.609375,671.609375
2019-01-16,24207.16015625,321.060546875,530.0390625
2019-01-17,24370.099609375,209.861328125,367.099609375
2019-01-18,24706.349609375,308.509765625,610.37890625
2019-01-22,24404.48046875,595.189453125,610.37890625
2019-01-23,24575.619140625,488.271484375,535.669921875
2019-01-24,24553.240234375,686.12890625,711.1484375
2019-01-25,24737.19921875,674.3203125,883.298828125
2019-01-28,24528.220703125,862.080078125,883.298828125
2019-01-29,24579.9609375,589.568359375,831.55859375
2019-01-30,25014.859375,91.470703125,411.849609375
2019-01-31,24999.669921875,53.439453125,411.849609375
2019-02-01,25063.890625,361.869140625,372.650390625
2019-02-04,25239.369140625,303.900390625,490.16015625
2019-02-05,25411.51953125,27.87109375,490.16015625
2019-02-06,25390.30078125,492.94921875,830.140625
2019-02-07,25169.529296875,721.791015625,838.2109375
2019-02-08,25106.330078125,848.109375,901.330078125
2019-02-11,25053.109375,797.521484375,901.330078125
2019-02-12,25425.759765625,606.05078125,606.05078125
2019-02-13,25543.26953125,548.6796875,652.55859375
2019-02-14,25439.390625,618.58984375,652.55859375
2019-02-15,25883.25,101.91015625,241.318359375
2019-02-19,25891.3203125,24.6796875,241.318359375
2019-02-20,25954.439453125,71.880859375,241.318359375
2019-02-21,25850.630859375,-30.98046875,272.298828125
2019-02-22,26031.810546875,-225.1796875,285.318359375
2019-02-25,26091.94921875,-418.48828125,418.48828125
2019-02-26,26057.98046875,-584.75,584.75
2019-02-27,25985.16015625,-534.919921875,576.080078125
2019-02-28,25916.0,-265.119140625,576.080078125
2019-03-01,26026.3203125,-471.66015625,576.080078125
2019-03-04,25819.650390625,-116.759765625,369.41015625
2019-03-05,25806.630859375,-96.69140625,356.390625
2019-03-06,25673.4609375,175.408203125,398.62890625
2019-03-07,25473.23046875,440.869140625,463.859375
2019-03-08,25450.240234375,437.140625,463.859375
2019-03-11,25650.880859375,94.7890625,359.439453125
2019-03-12,25554.66015625,407.849609375,407.849609375
2019-03-13,25702.890625,-200.5703125,460.189453125
2019-03-14,25709.939453125,-193.109375,460.189453125
2019-03-15,25848.869140625,-191.138671875,460.189453125
2019-03-18,25914.099609375,-288.509765625,460.189453125
2019-03-19,25887.380859375,-169.919921875,460.189453125
2019-03-20,25745.669921875,183.009765625,460.189453125
2019-03-21,25962.509765625,295.91015625,756.099609375
2019-03-22,25502.3203125,676.810546875,756.099609375
2019-03-25,25516.830078125,701.30078125,741.58984375
2019-03-26,25657.73046875,726.900390625,759.041015625
2019-03-27,25625.58984375,799.400390625,799.400390625
2019-03-28,25717.4609375,623.55859375,707.529296875
2019-03-29,25928.6796875,221.900390625,496.310546875
2019-04-01,26258.419921875,-101.259765625,274.41015625
2019-04-02,26179.130859375,-36.080078125,281.939453125
2019-04-03,26218.130859375,194.169921875,281.939453125
2019-04-04,26384.630859375,0.138671875,281.939453125
2019-04-05,26424.990234375,27.669921875,309.609375
2019-04-08,26341.01953125,108.51953125,309.609375
2019-04-09,26150.580078125,408.958984375,416.48828125
2019-04-10,26157.16015625,353.890625,416.48828125
2019-04-11,26143.05078125,513.33984375,513.33984375
2019-04-12,26412.30078125,184.75,271.62109375
2019-04-15,26384.76953125,77.310546875,271.62109375
2019-04-16,26452.66015625,90.669921875,206.8515625
2019-04-17,26449.5390625,104.8515625,206.8515625
2019-04-18,26559.5390625,33.37109375,194.310546875
2019-04-22,26511.05078125,-80.91015625,226.25
2019-04-23,26656.390625,-348.6015625,348.6015625
2019-04-24,26597.05078125,-92.1015625,289.26171875
2019-04-25,26462.080078125,-23.599609375,285.12109375
2019-04-26,26543.330078125,-578.240234375,627.8203125
2019-04-29,26554.390625,-587.060546875,627.8203125
2019-04-30,26592.91015625,-764.55078125,764.55078125
2019-05-01,26430.140625,-487.771484375,676.58984375
2019-05-02,26307.7890625,-982.798828125,1179.958984375
2019-05-03,26504.94921875,-972.8984375,1179.958984375
2019-05-06,26438.48046875,-790.4609375,1113.490234375
2019-05-07,25965.08984375,-102.41015625,642.33984375
2019-05-08,25967.330078125,-203.330078125,642.33984375
2019-05-09,25828.359375,-148.458984375,617.37890625
2019-05-10,25942.369140625,-65.0390625,617.37890625
2019-05-13,25324.990234375,451.619140625,552.33984375
2019-05-14,25532.05078125,-41.580078125,386.859375
2019-05-15,25648.01953125,-62.330078125,386.859375
2019-05-16,25862.6796875,-514.91015625,529.560546875
2019-05-17,25764.0,-637.58984375,750.919921875
2019-05-20,25679.900390625,-510.01953125,750.919921875
2019-05-21,25877.330078125,-1062.291015625,1062.291015625
2019-05-22,25776.609375,-956.830078125,961.5703125
2019-05-23,25490.470703125,-158.291015625,770.650390625
2019-05-24,25585.689453125,-46.119140625,770.650390625
2019-05-28,25347.76953125,372.890625,905.62109375
2019-05-29,25126.41015625,857.529296875,1168.900390625
2019-05-30,25169.880859375,892.798828125,1247.640625
2019-05-31,24815.0390625,1233.470703125,1247.640625
2019-06-03,24819.779296875,1185.05078125,1242.900390625
2019-06-04,25332.1796875,774.58984375,774.58984375
2019-06-05,25539.5703125,550.0390625,567.19921875
2019-06-06,25720.66015625,391.869140625,391.869140625
2019-06-07,25983.939453125,481.599609375,481.599609375
2019-06-10,26062.6796875,441.3203125,499.169921875
2019-06-11,26048.509765625,704.66015625,748.33984375
2019-06-12,26004.830078125,714.30078125,748.33984375
2019-06-13,26106.76953125,620.76953125,663.560546875
2019-06-14,26089.609375,458.611328125,663.560546875
2019-06-17,26112.529296875,424.291015625,640.640625
2019-06-18,26465.5390625,61.041015625,287.630859375
2019-06-19,26504.0,95.9609375,249.169921875
2019-06-20,26753.169921875,-35.740234375,226.58984375
2019-06-21,26719.130859375,67.548828125,260.099609375
2019-06-24,26727.5390625,238.4609375,439.419921875
2019-06-25,26548.220703125,373.8984375,439.419921875
2019-06-26,26536.8203125,269.3203125,439.419921875
2019-06-27,26526.580078125,256.91015625,439.419921875
2019-06-28,26599.9609375,260.23828125,366.0390625
2019-07-01,26717.4296875,370.650390625,370.650390625
2019-07-02,26786.6796875,545.349609375,548.5390625
2019-07-03,26966.0,393.16015625,575.669921875
2019-07-05,26922.119140625,413.51171875,575.669921875
2019-07-08,26806.140625,413.708984375,575.669921875
2019-07-09,26783.490234375,439.48046875,575.669921875
2019-07-10,26860.19921875,294.0,498.9609375
2019-07-11,27088.080078125,83.8203125,271.080078125
2019-07-12,27332.029296875,17.16015625,204.9609375
2019-07-15,27359.16015625,-89.189453125,204.9609375
2019-07-16,27335.630859375,-194.650390625,208.208984375
2019-07-17,27219.849609375,-27.400390625,208.208984375
2019-07-18,27222.970703125,-1.62109375,208.208984375
2019-07-19,27154.19921875,43.8203125,208.208984375
2019-07-22,27171.900390625,-307.630859375,484.919921875
2019-07-23,27349.189453125,-765.76953125,765.76953125
2019-07-24,27269.970703125,-784.9609375,784.9609375
2019-07-25,27140.98046875,-1423.240234375,1503.609375
2019-07-26,27192.44921875,-1162.9296875,1503.609375
2019-07-29,27221.349609375,-1214.279296875,1503.609375
2019-07-30,27198.01953125,-819.830078125,1480.279296875
2019-07-31,26864.26953125,-576.830078125,1146.529296875
2019-08-01,26583.419921875,-686.98046875,865.6796875
2019-08-02,26485.009765625,-205.099609375,767.26953125
2019-08-05,25717.740234375,-238.3203125,898.76953125
2019-08-06,26029.51953125,-450.12890625,898.76953125
2019-08-07,26007.0703125,-121.060546875,898.76953125
2019-08-08,26378.189453125,-242.400390625,898.76953125
2019-08-09,26287.439453125,-325.0,808.01953125
2019-08-12,25896.439453125,306.291015625,800.490234375
2019-08-13,26279.91015625,-27.669921875,800.490234375
2019-08-14,25479.419921875,149.48046875,772.8203125
2019-08-15,25579.390625,319.439453125,672.849609375
2019-08-16,25886.009765625,-108.109375,623.33984375
2019-08-19,26135.7890625,-99.689453125,623.33984375
2019-08-20,25962.439453125,399.810546875,733.349609375
2019-08-21,26202.73046875,200.548828125,774.37890625
2019-08-22,26252.240234375,-134.220703125,774.37890625
2019-08-23,25628.900390625,726.5703125,774.37890625
2019-08-26,25898.830078125,829.3203125,950.25
2019-08-27,25777.900390625,1019.560546875,1019.560546875
2019-08-28,26036.099609375,799.41015625,799.41015625
2019-08-29,26362.25,547.1796875,791.41015625
2019-08-30,26403.279296875,733.759765625,1019.01953125
2019-09-03,26118.01953125,1064.4296875,1064.4296875
2019-09-04,26355.470703125,864.048828125,864.048828125
2019-09-05,26728.150390625,348.669921875,491.369140625
2019-09-06,26797.4609375,313.33984375,422.05859375
2019-09-09,26835.509765625,311.5703125,384.009765625
2019-09-10,26909.4296875,185.359375,310.08984375
2019-09-11,27137.0390625,-201.96875,284.44921875
2019-09-12,27182.44921875,-232.458984375,284.44921875
2019-09-13,27219.51953125,-411.75,411.75
2019-09-16,27076.8203125,-106.109375,339.310546875
2019-09-17,27110.80078125,-219.681640625,339.310546875
2019-09-18,27147.080078125,-326.830078125,339.310546875
2019-09-19,27094.7890625,-177.958984375,287.01953125
2019-09-20,26935.0703125,-362.03125,397.671875
2019-09-23,26949.990234375,-871.37109375,892.091796875
2019-09-24,26807.76953125,-606.73046875,892.091796875
2019-09-25,26970.7109375,-396.990234375,892.091796875
2019-09-26,26891.119140625,-413.099609375,838.2109375
2019-09-27,26820.25,-656.2109375,838.2109375
2019-09-30,26916.830078125,-570.8203125,838.2109375
2019-10-01,26573.0390625,-76.369140625,495.1015625
2019-10-02,26078.619140625,737.970703125,737.970703125
2019-10-03,26201.0390625,586.3203125,652.55078125
2019-10-04,26573.720703125,451.080078125,860.76171875
2019-10-07,26478.01953125,523.9609375,860.76171875
2019-10-08,26164.0390625,861.841796875,861.841796875
2019-10-09,26346.009765625,424.189453125,679.87109375
2019-10-10,26496.669921875,330.970703125,529.2109375
2019-10-11,26816.58984375,-28.490234375,255.681640625
2019-10-14,26787.359375,46.58984375,255.681640625
2019-10-15,27024.80078125,-219.271484375,255.681640625
2019-10-16,27001.98046875,-43.919921875,255.681640625
2019-10-17,27025.880859375,64.83984375,320.521484375
2019-10-18,26770.19921875,301.26171875,320.521484375
2019-10-21,26827.640625,359.048828125,398.58984375
2019-10-22,26788.099609375,258.130859375,398.58984375
2019-10-23,26833.94921875,513.41015625,541.830078125
2019-10-24,26805.529296875,656.580078125,656.580078125
2019-10-25,26958.060546875,534.5703125,534.5703125
2019-10-28,27090.720703125,401.83984375,446.400390625
2019-10-29,27071.4609375,603.33984375,628.5703125
2019-10-30,27186.689453125,494.55078125,635.009765625
2019-10-31,27046.23046875,645.259765625,645.259765625
2019-11-01,27347.359375,344.130859375,344.130859375
2019-11-04,27462.109375,321.48046875,321.48046875
2019-11-05,27492.630859375,289.330078125,291.029296875
2019-11-06,27492.560546875,512.330078125,512.330078125
2019-11-07,27674.80078125,361.419921875,361.419921875
2019-11-08,27681.240234375,252.779296875,354.98046875
2019-11-11,27691.490234375,129.599609375,344.73046875
2019-11-12,27691.490234375,74.798828125,344.73046875
2019-11-13,27783.58984375,92.029296875,269.931640625
2019-11-14,27781.9609375,284.509765625,300.181640625
2019-11-15,28004.890625,116.7890625,355.390625
2019-11-18,28036.220703125,127.779296875,397.7109375
2019-11-19,27934.01953125,117.390625,397.7109375
2019-11-20,27821.08984375,-38.05078125,397.7109375
2019-11-21,27766.2890625,-263.478515625,661.189453125
2019-11-22,27875.619140625,-225.83984375,661.189453125
2019-11-25,28066.470703125,-388.681640625,661.189453125
2019-11-26,28121.6796875,-106.619140625,661.189453125
2019-11-27,28164.0,-254.400390625,661.189453125
2019-11-29,28051.41015625,-169.689453125,548.599609375
2019-12-02,27783.0390625,128.26171875,512.25
2019-12-03,27502.810546875,629.240234375,629.240234375
2019-12-04,27649.779296875,485.6015625,485.6015625
2019-12-05,27677.7890625,558.1015625,558.1015625
2019-12-06,28015.060546875,252.099609375,385.439453125
2019-12-09,27909.599609375,329.6796875,385.439453125
2019-12-10,27881.720703125,495.240234375,495.240234375
2019-12-11,27911.30078125,543.7890625,543.7890625
2019-12-12,28132.05078125,419.478515625,419.478515625
2019-12-13,28135.380859375,380.068359375,416.1484375
2019-12-16,28235.890625,385.5,385.5
2019-12-17,28267.16015625,378.099609375,405.98046875
2019-12-18,28239.279296875,222.861328125,405.98046875
2019-12-19,28376.9609375,161.478515625,268.298828125
2019-12-20,28455.08984375,413.7109375,413.7109375
2019-12-23,28551.529296875,83.3515625,406.66015625
2019-12-24,28515.44921875,187.931640625,406.66015625
2019-12-26,28621.390625,-37.7109375,406.66015625
2019-12-27,28645.259765625,99.830078125,406.66015625
2019-12-30,28462.140625,494.759765625,494.759765625
2019-12-31,28538.439453125,285.330078125,418.4609375
2020-01-02,28868.80078125,38.25,373.220703125
2020-01-03,28634.880859375,304.7890625,373.220703125
2020-01-06,28703.380859375,326.83984375,446.541015625
2020-01-07,28583.6796875,713.9609375,713.9609375
2020-01-08,28745.08984375,603.009765625,603.009765625
2020-01-09,28956.900390625,239.138671875,524.330078125
2020-01-10,28823.76953125,362.5,524.330078125
2020-01-13,28907.05078125,253.0390625,441.048828125
2020-01-14,28939.669921875,50.060546875,408.4296875
2020-01-15,29030.220703125,-494.419921875,812.298828125
2020-01-16,29297.640625,-574.791015625,812.298828125
2020-01-17,29348.099609375,-613.650390625,812.298828125
2020-01-21,29196.0390625,-336.599609375,660.23828125
2020-01-22,29186.26953125,-930.240234375,930.240234375
2020-01-23,29160.08984375,-760.279296875,904.060546875
2020-01-24,28989.73046875,-182.099609375,733.701171875
2020-01-27,28535.80078125,755.048828125,1034.8203125
2020-01-28,28722.849609375,656.919921875,1123.740234375
2020-01-29,28734.44921875,368.060546875,1123.740234375
2020-01-30,28859.439453125,417.380859375,1123.740234375
2020-01-31,28256.029296875,1020.310546875,1123.740234375
2020-02-03,28399.810546875,1151.609375,1151.609375
2020-02-04,28807.630859375,615.6796875,743.7890625
2020-02-05,29290.849609375,107.23046875,448.91015625
2020-02-06,29379.76953125,-147.580078125,448.91015625
2020-02-07,29102.509765625,245.51953125,448.91015625
2020-02-10,29276.8203125,-56.83984375,331.439453125
2020-02-11,29276.33984375,-283.9296875,559.009765625
2020-02-12,29551.419921875,-1590.619140625,1590.619140625
2020-02-13,29423.310546875,-2341.951171875,2341.951171875
2020-02-14,29398.080078125,-2440.490234375,2440.490234375
2020-02-18,29232.189453125,-3465.548828125,3581.388671875
2020-02-19,29348.029296875,-3938.669921875,3938.669921875
2020-02-20,29219.98046875,-2516.66015625,3810.62109375
2020-02-21,28992.41015625,-3075.0,3583.05078125
2020-02-24,27960.80078125,-869.94140625,2551.44140625
2020-02-25,27081.359375,-960.080078125,1681.5
2020-02-26,26957.58984375,-1092.810546875,1681.5
2020-02-27,25766.640625,-1915.62109375,3239.83984375
2020-02-28,25409.359375,-391.19921875,3239.83984375
2020-03-02,26703.3203125,-3150.099609375,3537.638671875
2020-03-03,25917.41015625,-4716.791015625,5890.240234375
2020-03-04,27090.859375,-3905.240234375,5890.240234375
2020-03-05,26121.279296875,-5932.759765625,5932.759765625
2020-03-06,25864.779296875,-4627.3984375,5676.259765625
2020-03-09,23851.01953125,-3952.099609375,5119.240234375
2020-03-10,25018.16015625,-4930.970703125,5119.240234375
2020-03-11,23553.220703125,-4379.240234375,4379.240234375
2020-03-12,21200.619140625,-2608.689453125,4593.689453125
2020-03-13,23185.619140625,-2480.708984375,4593.689453125
2020-03-16,20188.51953125,1012.03125,2645.451171875
2020-03-17,21237.380859375,1314.7890625,3960.240234375
2020-03-18,19898.919921875,1737.859375,3960.240234375
2020-03-19,20087.189453125,2240.291015625,3960.240234375
2020-03-20,19173.98046875,2743.1796875,3960.240234375
2020-03-23,18591.9296875,2351.580078125,3960.240234375
2020-03-24,20704.91015625,708.529296875,1847.259765625
2020-03-25,21200.55078125,-148.021484375,1608.66015625
2020-03-26,22552.169921875,127.8203125,1736.48046875
2020-03-27,21636.779296875,1017.080078125,1736.48046875
2020-03-30,22327.48046875,1106.08984375,2490.060546875
2020-03-31,21917.16015625,1802.208984375,2775.859375
2020-04-01,20943.509765625,2447.259765625,2775.859375
2020-04-02,21413.439453125,2536.3203125,2897.23046875
2020-04-03,21052.529296875,2451.8203125,2897.23046875
2020-04-06,22679.990234375,857.689453125,1295.900390625
2020-04-07,22653.859375,1588.630859375,1588.630859375
2020-04-08,23433.5703125,216.869140625,851.720703125
2020-04-09,23719.369140625,-700.48828125,1223.609375
2020-04-13,23390.76953125,85.05078125,1223.609375
2020-04-14,23949.759765625,-434.5,1223.609375
2020-04-15,23504.349609375,270.919921875,1223.609375
2020-04-16,23537.6796875,596.099609375,1223.609375
2020-04-17,24242.490234375,-140.939453125,1223.609375
2020-04-20,23650.439453125,983.419921875,1614.978515625
2020-04-21,23018.880859375,1326.83984375,1614.978515625
2020-04-22,23475.8203125,247.869140625,1158.0390625
2020-04-23,23515.259765625,234.5,1118.599609375
2020-04-24,23775.26953125,107.8203125,910.169921875
2020-04-27,24133.779296875,-469.138671875,969.21875
2020-04-28,24101.55078125,-225.66015625,969.21875
2020-04-29,24633.859375,-302.5390625,969.21875
2020-04-30,24345.720703125,-123.73046875,681.080078125
2020-05-01,23723.689453125,41.08984375,666.6796875
2020-05-04,23749.759765625,-501.7890625,1083.349609375
2020-05-05,23883.08984375,-257.75,1083.349609375
2020-05-06,23664.640625,20.779296875,1083.349609375
2020-05-07,23875.890625,721.478515625,1349.3984375
2020-05-08,24331.3203125,-124.4609375,1349.3984375
