date,value,7_day_change,7_day_volatility
2019-01-02,6734.2001953125,184.0,250.19970703125
2019-01-03,6692.7001953125,162.2998046875,250.19970703125
2019-01-04,6837.39990234375,57.60009765625,132.0
2019-01-07,6810.89990234375,51.80029296875,132.0
2019-01-08,6861.60009765625,-26.7001953125,108.0
2019-01-09,6906.60009765625,61.69970703125,133.39990234375
2019-01-10,6942.89990234375,27.7001953125,135.7001953125
2019-01-11,6918.2001953125,-16.80029296875,135.7001953125
2019-01-14,6855.0,-12.10009765625,135.7001953125
2019-01-15,6895.0,-76.0,151.60009765625
2019-01-16,6862.7001953125,-53.5,161.39990234375
2019-01-17,6834.89990234375,-87.7998046875,223.5
2019-01-18,6968.2998046875,-134.39990234375,223.5
2019-01-21,6970.60009765625,-29.0,223.5
2019-01-22,6901.39990234375,67.5,221.7998046875
2019-01-23,6842.89990234375,177.30029296875,273.10009765625
2019-01-24,6819.0,215.10009765625,287.0
2019-01-25,6809.2001953125,368.19970703125,430.2998046875
2019-01-28,6747.10009765625,426.0,430.2998046875
2019-01-29,6833.89990234375,259.7001953125,343.5
2019-01-30,6941.60009765625,129.60009765625,235.7998046875
2019-01-31,6968.89990234375,160.2001953125,208.5
2019-02-01,7020.2001953125,112.89990234375,157.19970703125
2019-02-04,7034.10009765625,156.69970703125,156.69970703125
2019-02-05,7177.39990234375,19.60009765625,125.7998046875
2019-02-06,7173.10009765625,63.60009765625,165.5
2019-02-07,7093.60009765625,125.89990234375,165.5
2019-02-08,7071.2001953125,108.0,165.5
2019-02-11,7129.10009765625,99.5,107.60009765625
2019-02-12,7133.10009765625,34.2998046875,103.60009765625
2019-02-13,7190.7998046875,-12.19970703125,69.30029296875
2019-02-14,7197.0,-13.2998046875,69.30029296875
2019-02-15,7236.7001953125,-85.60009765625,85.60009765625
2019-02-18,7219.5,-112.2998046875,121.39990234375
2019-02-19,7179.2001953125,-104.5,153.89990234375
2019-02-20,7228.60009765625,-121.89990234375,153.89990234375
2019-02-21,7167.39990234375,-33.0,109.0
2019-02-22,7178.60009765625,4.7998046875,109.0
2019-02-25,7183.7001953125,12.2998046875,121.2998046875
2019-02-26,7151.10009765625,6.5,121.2998046875
2019-02-27,7107.2001953125,-2.900390625,121.2998046875
2019-02-28,7074.7001953125,55.89990234375,121.2998046875
2019-03-01,7106.7001953125,44.5,91.7001953125
2019-03-04,7134.39990234375,24.80029296875,91.7001953125
2019-03-05,7183.39990234375,2.0,91.7001953125
2019-03-06,7196.0,32.2998046875,124.0
2019-03-07,7157.60009765625,141.60009765625,194.900390625
2019-03-08,7104.2998046875,219.7001953125,219.7001953125
2019-03-11,7130.60009765625,160.39990234375,193.39990234375
2019-03-12,7151.2001953125,204.099609375,204.099609375
2019-03-13,7159.2001953125,48.39990234375,196.099609375
2019-03-14,7185.39990234375,-7.7998046875,177.69970703125
2019-03-15,7228.2998046875,-32.0,177.69970703125
2019-03-18,7299.2001953125,-105.0,177.69970703125
2019-03-19,7324.0,-89.7001953125,177.69970703125
2019-03-20,7291.0,-11.7998046875,177.69970703125
2019-03-21,7355.2998046875,-37.89990234375,177.69970703125
2019-03-22,7207.60009765625,183.5,213.5
2019-03-25,7177.60009765625,240.69970703125,240.69970703125
2019-03-26,7196.2998046875,205.60009765625,224.099609375
2019-03-27,7194.2001953125,252.69970703125,252.69970703125
2019-03-28,7234.2998046875,217.60009765625,217.60009765625
2019-03-29,7279.2001953125,146.39990234375,172.69970703125
2019-04-01,7317.39990234375,104.5,134.5
2019-04-02,7391.10009765625,26.89990234375,60.7998046875
2019-04-03,7418.2998046875,18.80029296875,50.0
2019-04-04,7401.89990234375,35.0,50.0
2019-04-05,7446.89990234375,23.0,51.89990234375
2019-04-08,7451.89990234375,19.39990234375,53.2998046875
2019-04-09,7425.60009765625,34.2998046875,53.2998046875
2019-04-10,7421.89990234375,101.2001953125,105.10009765625
2019-04-11,7418.0,53.7998046875,105.10009765625
2019-04-12,7437.10009765625,-3.0,89.0
2019-04-15,7436.89990234375,-8.69970703125,94.89990234375
2019-04-16,7469.89990234375,-29.19970703125,94.89990234375
2019-04-17,7471.2998046875,-53.099609375,104.89990234375
