date,value,7_day_change,7_day_volatility
2019-01-02,25130.349609375,1536.919921875,1602.91015625
2019-01-03,25064.359375,1233.970703125,1602.91015625
2019-01-04,25626.029296875,1204.259765625,1204.259765625
2019-01-07,25835.69921875,1066.400390625,1066.400390625
2019-01-08,25875.44921875,880.181640625,1026.650390625
2019-01-09,26462.3203125,628.490234375,792.48046875
2019-01-10,26521.4296875,675.109375,898.208984375
2019-01-11,26667.26953125,338.1796875,898.208984375
2019-01-14,26298.330078125,709.869140625,898.208984375
2019-01-15,26830.2890625,290.69140625,440.908203125
2019-01-16,26902.099609375,667.08984375,813.55859375
2019-01-17,26755.630859375,821.330078125,821.330078125
2019-01-18,27090.810546875,440.869140625,571.51171875
2019-01-21,27196.5390625,446.310546875,637.400390625
2019-01-22,27005.44921875,937.021484375,937.021484375
2019-01-23,27008.19921875,922.541015625,934.271484375
2019-01-24,27120.98046875,869.23046875,869.23046875
2019-01-25,27569.189453125,377.130859375,458.53125
2019-01-28,27576.9609375,566.87890625,612.16015625
2019-01-29,27531.6796875,639.650390625,639.650390625
2019-01-30,27642.849609375,854.740234375,854.740234375
2019-01-31,27942.470703125,489.580078125,566.849609375
2019-02-01,27930.740234375,-29.900390625,596.75
2019-02-04,27990.2109375,356.798828125,596.75
2019-02-08,27946.3203125,281.810546875,596.75
2019-02-11,28143.83984375,370.2109375,613.2109375
2019-02-12,28171.330078125,458.58984375,729.080078125
2019-02-13,28497.58984375,318.7109375,915.4609375
2019-02-14,28432.05078125,527.25,1058.4609375
2019-02-15,27900.83984375,871.220703125,1058.4609375
2019-02-18,28347.009765625,410.4296875,731.169921875
2019-02-19,28228.130859375,405.048828125,731.169921875
2019-02-20,28514.05078125,298.119140625,445.25
2019-02-21,28629.919921875,329.669921875,329.669921875
2019-02-22,28816.30078125,145.298828125,328.419921875
2019-02-25,28959.30078125,78.298828125,404.419921875
2019-02-26,28772.060546875,7.388671875,404.419921875
2019-02-27,28757.439453125,-529.01953125,809.1796875
2019-02-28,28633.1796875,-129.87890625,809.1796875
2019-03-01,28812.169921875,108.69921875,809.1796875
2019-03-04,28959.58984375,-152.140625,809.1796875
2019-03-05,28961.599609375,-110.208984375,809.1796875
2019-03-06,29037.599609375,-25.33984375,809.1796875
2019-03-07,28779.44921875,629.560546875,1180.58984375
2019-03-08,28228.419921875,1237.859375,1237.859375
2019-03-11,28503.30078125,817.669921875,962.978515625
2019-03-12,28920.869140625,150.69140625,658.830078125
2019-03-13,28807.44921875,305.91015625,658.830078125
2019-03-14,28851.390625,-328.041015625,942.9296875
2019-03-15,29012.259765625,-445.349609375,942.9296875
2019-03-18,29409.009765625,-680.759765625,942.9296875
2019-03-19,29466.279296875,-691.068359375,942.9296875
2019-03-20,29320.970703125,-269.611328125,797.62109375
2019-03-21,29071.560546875,490.458984375,1038.669921875
2019-03-22,29113.359375,511.310546875,1101.3203125
2019-03-25,28523.349609375,1463.041015625,1463.041015625
2019-03-26,28566.91015625,1369.41015625,1419.48046875
2019-03-27,28728.25,1348.900390625,1348.900390625
2019-03-28,28775.2109375,1382.279296875,1382.279296875
2019-03-29,29051.359375,1068.201171875,1106.130859375
2019-04-01,29562.01953125,277.4296875,595.470703125
2019-04-02,29624.669921875,285.08984375,532.8203125
2019-04-03,29986.390625,-175.669921875,346.76953125
2019-04-04,29936.3203125,193.548828125,346.76953125
2019-04-08,30077.150390625,47.529296875,346.76953125
2019-04-09,30157.490234375,-194.23046875,346.76953125
2019-04-10,30119.560546875,-156.3203125,319.1484375
2019-04-11,29839.44921875,-33.619140625,324.0390625
2019-04-12,29909.759765625,-359.958984375,580.068359375
2019-04-15,29810.720703125,-205.7109375,580.068359375
2019-04-16,30129.869140625,-237.05859375,580.068359375
2019-04-17,30124.6796875,-425.5703125,574.87890625
2019-04-18,29963.259765625,-19.080078125,413.458984375
2019-04-23,29963.240234375,118.310546875,531.75
2019-04-24,29805.830078125,-596.009765625,871.73046875
2019-04-25,29549.80078125,-186.78125,871.73046875
