date,value,7_day_change,7_day_volatility
2019-01-02,10792.5,2.4501953125,182.900390625
2019-01-03,10672.25,65.349609375,182.900390625
2019-01-04,10727.349609375,159.4501953125,159.4501953125
2019-01-07,10771.7998046875,118.5,152.7001953125
2019-01-08,10802.150390625,103.0498046875,167.6005859375
2019-01-09,10855.150390625,51.7998046875,169.3505859375
2019-01-10,10821.599609375,140.25,224.25
2019-01-11,10794.9501953125,127.7998046875,224.25
2019-01-14,10737.599609375,93.900390625,224.25
2019-01-15,10886.7998046875,-37.0,130.349609375
2019-01-16,10890.2998046875,-109.75,181.2998046875
2019-01-17,10905.2001953125,-243.650390625,300.2998046875
2019-01-18,10906.9501953125,-254.75,309.6494140625
2019-01-21,10961.849609375,-310.0498046875,310.0498046875
2019-01-22,10922.75,-91.7998046875,270.9501953125
2019-01-23,10831.5,62.150390625,241.8505859375
2019-01-24,10849.7998046875,62.4501953125,260.4501953125
2019-01-25,10780.5498046875,153.7998046875,282.5498046875
2019-01-28,10661.5498046875,400.900390625,410.650390625
2019-01-29,10652.2001953125,417.2001953125,417.6005859375
2019-01-30,10651.7998046875,291.7998046875,417.6005859375
2019-01-31,10830.9501953125,57.849609375,238.4501953125
2019-02-01,10893.650390625,-62.25,238.0
2019-02-04,10912.25,-166.2001953125,323.3505859375
2019-02-05,10934.349609375,-209.94921875,345.0
2019-02-06,11062.4501953125,-421.5,428.4501953125
2019-02-07,11069.400390625,-465.05078125,465.05078125
2019-02-08,10943.599609375,-208.1494140625,339.25
2019-02-11,10888.7998046875,-98.9501953125,284.4501953125
2019-02-12,10831.400390625,-39.75,227.05078125
2019-02-14,10746.0498046875,134.0498046875,275.75
2019-02-15,10724.400390625,110.8994140625,275.75
2019-02-18,10640.9501953125,165.7001953125,275.75
2019-02-19,10604.349609375,188.150390625,275.75
2019-02-20,10735.4501953125,128.0498046875,144.6494140625
2019-02-21,10789.849609375,197.6005859375,197.6005859375
2019-02-22,10791.650390625,261.349609375,261.349609375
2019-02-25,10880.099609375,178.1005859375,265.7001953125
2019-02-26,10835.2998046875,200.1005859375,265.7001953125
2019-02-27,10806.650390625,361.3994140625,375.5498046875
2019-02-28,10792.5,508.7001953125,508.7001953125
2019-03-01,10863.5,478.2001953125,478.2001953125
2019-03-05,10987.4501953125,355.7998046875,355.7998046875
2019-03-06,11053.0,373.849609375,391.44921875
2019-03-07,11058.2001953125,404.0,426.7998046875
2019-03-08,11035.400390625,497.0,497.0
2019-03-11,11168.0498046875,353.0,364.3505859375
2019-03-12,11301.2001953125,155.7001953125,231.2001953125
2019-03-13,11341.7001953125,12.5498046875,190.7001953125
2019-03-14,11343.25,140.0,189.150390625
2019-03-15,11426.849609375,18.2001953125,178.150390625
2019-03-18,11462.2001953125,107.7998046875,215.75
2019-03-19,11532.400390625,136.75,314.900390625
2019-03-20,11521.0498046875,192.150390625,358.9501953125
2019-03-22,11456.900390625,187.0498046875,358.9501953125
2019-03-25,11354.25,243.75,358.9501953125
2019-03-26,11483.25,182.7001953125,268.150390625
2019-03-27,11445.0498046875,159.4501953125,268.150390625
2019-03-28,11570.0,101.9501953125,143.2001953125
2019-04-01,11669.150390625,-84.8505859375,128.900390625
2019-04-02,11713.2001953125,-116.5,128.900390625
2019-04-03,11643.9501953125,-0.5,87.650390625
2019-04-04,11598.0,92.349609375,106.0498046875
2019-04-05,11665.9501953125,121.2001953125,202.8505859375
