date,value,7_day_change,7_day_volatility
2019-01-04,19561.9609375,880.7890625,993.328125
2019-01-07,20038.970703125,363.298828125,516.318359375
2019-01-08,20204.0390625,462.03125,502.26953125
2019-01-09,20427.060546875,292.26953125,555.529296875
2019-01-10,20163.80078125,459.109375,555.529296875
2019-01-11,20359.69921875,234.021484375,359.630859375
2019-01-15,20555.2890625,19.341796875,317.060546875
2019-01-16,20442.75,330.810546875,371.291015625
2019-01-17,20402.26953125,246.73046875,371.291015625
2019-01-18,20666.0703125,-1.4296875,198.9296875
2019-01-21,20719.330078125,-162.791015625,217.021484375
2019-01-22,20622.91015625,150.580078125,217.021484375
2019-01-23,20593.720703125,194.669921875,231.8515625
2019-01-24,20574.630859375,309.138671875,327.23046875
2019-01-25,20773.560546875,70.888671875,327.23046875
2019-01-28,20649.0,225.060546875,327.23046875
2019-01-29,20664.640625,86.638671875,327.23046875
2019-01-30,20556.5390625,-223.369140625,550.599609375
2019-01-31,20773.490234375,90.720703125,550.599609375
2019-02-01,20788.390625,356.08984375,811.310546875
2019-02-04,20883.76953125,255.94140625,811.310546875
2019-02-05,20844.44921875,56.181640625,811.310546875
2019-02-06,20874.060546875,407.7890625,948.6796875
2019-02-07,20751.279296875,551.37109375,969.48046875
2019-02-08,20333.169921875,1098.3203125,1098.3203125
2019-02-12,20864.2109375,600.01953125,600.01953125
2019-02-13,21144.48046875,281.029296875,563.599609375
2019-02-14,21139.7109375,388.51953125,627.599609375
2019-02-15,20900.630859375,548.759765625,627.599609375
2019-02-18,21281.849609375,274.66015625,274.66015625
2019-02-19,21302.650390625,82.509765625,253.859375
2019-02-20,21431.490234375,171.19921875,217.529296875
2019-02-21,21464.23046875,357.80859375,436.87890625
2019-02-22,21425.509765625,300.76953125,436.87890625
2019-02-25,21528.23046875,68.580078125,436.87890625
2019-02-26,21449.390625,6.619140625,436.87890625
2019-02-27,21556.509765625,-530.94921875,796.478515625
2019-02-28,21385.16015625,-260.0703125,796.478515625
2019-03-01,21602.689453125,-99.0,796.478515625
2019-03-04,21822.0390625,-531.798828125,796.478515625
2019-03-05,21726.279296875,-439.259765625,700.71875
2019-03-06,21596.810546875,-145.9609375,571.25
2019-03-07,21456.009765625,128.490234375,558.939453125
2019-03-08,21025.560546875,541.2890625,558.939453125
2019-03-11,21125.08984375,483.830078125,483.830078125
2019-03-12,21503.689453125,123.650390625,340.3203125
2019-03-13,21290.240234375,-313.130859375,650.23046875
2019-03-14,21287.01953125,141.37109375,650.23046875
2019-03-15,21450.849609375,-72.119140625,650.23046875
2019-03-18,21584.5,-550.740234375,650.23046875
2019-03-19,21566.849609375,-361.0390625,650.23046875
2019-03-20,21608.919921875,-99.890625,650.23046875
2019-03-22,21627.33984375,-122.029296875,650.23046875
2019-03-25,20977.109375,736.1015625,736.1015625
2019-03-26,21428.390625,296.55859375,691.189453125
2019-03-27,21378.73046875,428.76953125,773.740234375
2019-03-28,21033.759765625,727.890625,773.740234375
2019-03-29,21205.810546875,596.779296875,601.689453125
2019-04-01,21509.029296875,178.541015625,302.189453125
2019-04-02,21505.310546875,206.0703125,302.189453125
2019-04-03,21713.2109375,157.349609375,182.990234375
2019-04-04,21724.94921875,444.16015625,481.5390625
2019-04-05,21807.5,414.16015625,534.08984375
2019-04-08,21761.650390625,516.3203125,590.400390625
2019-04-09,21802.58984375,287.529296875,590.400390625
2019-04-10,21687.5703125,512.990234375,590.400390625
2019-04-11,21711.380859375,506.51953125,566.58984375
2019-04-12,21870.560546875,389.1796875,407.41015625
2019-04-15,22169.109375,30.890625,187.8515625
2019-04-16,22221.66015625,85.919921875,217.4609375
2019-04-17,22277.970703125,-19.240234375,217.4609375
2019-04-18,22090.119140625,-166.3984375,383.859375
2019-04-19,22200.560546875,-597.970703125,704.990234375
2019-04-22,22217.900390625,-815.76953125,905.44921875
2019-04-23,22259.740234375,-914.8203125,962.66015625
2019-04-24,22200.0,-1008.720703125,1116.30078125
2019-04-25,22307.580078125,-1240.349609375,1240.349609375
2019-04-26,22258.73046875,-1070.169921875,1191.5
2019-05-07,21923.720703125,-860.740234375,860.740234375
2019-05-08,21602.58984375,-352.5,539.609375
2019-05-09,21402.130859375,-100.400390625,339.150390625
2019-05-10,21344.919921875,-72.470703125,281.939453125
2019-05-13,21191.279296875,92.08984375,238.75
2019-05-14,21067.23046875,83.91015625,238.75
2019-05-15,21188.560546875,-71.33984375,238.75
2019-05-16,21062.98046875,119.599609375,238.75
2019-05-17,21250.08984375,10.05078125,184.509765625
2019-05-20,21301.73046875,-298.361328125,298.361328125
2019-05-21,21272.44921875,-329.919921875,340.83984375
2019-05-22,21283.369140625,-682.1796875,682.1796875
2019-05-23,21151.140625,-740.259765625,849.259765625
2019-05-24,21117.220703125,-708.681640625,851.6015625
2019-05-27,21182.580078125,-406.48046875,851.6015625
2019-05-28,21260.140625,-486.1015625,851.6015625
2019-05-29,21003.369140625,-118.658203125,594.830078125
2019-05-30,20942.529296875,191.890625,725.880859375
2019-05-31,20601.189453125,603.08984375,795.740234375
2019-06-03,20410.880859375,718.83984375,795.740234375
2019-06-04,20408.5390625,623.4609375,795.740234375
2019-06-05,20776.099609375,340.791015625,430.240234375
2019-06-06,20774.0390625,349.9609375,430.240234375
2019-06-07,20884.7109375,88.0,319.568359375
2019-06-10,21134.419921875,199.44921875,361.158203125
2019-06-11,21204.279296875,258.580078125,490.1484375
2019-06-12,21129.720703125,128.919921875,490.1484375
2019-06-13,21032.0,253.990234375,490.1484375
2019-06-14,21116.890625,76.919921875,490.1484375
2019-06-17,21124.0,-37.41015625,490.1484375
2019-06-18,20972.7109375,365.458984375,490.1484375
2019-06-19,21333.869140625,-57.94921875,376.26953125
2019-06-20,21462.859375,267.111328125,643.380859375
2019-06-21,21258.640625,495.62890625,667.6796875
2019-06-24,21285.990234375,352.169921875,667.6796875
2019-06-25,21193.810546875,508.638671875,667.6796875
2019-06-26,21086.58984375,659.791015625,667.6796875
2019-06-27,21338.169921875,196.1796875,478.349609375
2019-06-28,21275.919921875,289.23046875,478.349609375
2019-07-01,21729.970703125,-196.490234375,220.7890625
2019-07-02,21754.26953125,-110.740234375,220.7890625
2019-07-03,21638.16015625,47.740234375,212.900390625
2019-07-04,21702.44921875,-167.19921875,212.900390625
2019-07-05,21746.380859375,-277.201171875,277.201171875
2019-07-08,21534.349609375,-488.109375,639.66015625
2019-07-09,21565.150390625,-98.16015625,639.66015625
2019-07-10,21533.48046875,-116.69140625,639.66015625
